variable,count,missing_pct,mean,std,min,p25,median,p75,max
Brent,1461,0.0,82.26731690622861,14.269326377297245,59.93,72.86,80.14,87.38,138.21
WTI,1461,0.0,77.33167008898015,12.96081150546235,55.44,68.72,75.65,82.83,121.94
USD_Index,1461,0.0,121.90569739904174,2.7634258584240934,116.7017,120.0049,121.1754,123.1895,130.0413
EPU,1461,0.0,211.5879534565366,160.56141611221378,2.59,94.21,152.46,288.44,1026.38
GPR,1461,0.0,137.03132807392197,61.45457856241752,0.0,97.42846,127.406456,166.20149,540.1633
UAH_per_USD,1461,0.0,38.76552101300479,3.5060226271906956,29.2549,36.5686,39.3561,41.5149,44.1636
RUB_per_USD,1461,0.0,82.00409452429842,12.186969077577043,51.158,76.7519,81.6758,91.2881,109.5782
AED_per_USD,1461,0.0,3.6725,4.531260945460612e-14,3.6725,3.6725,3.6725,3.6725,3.6725
brent_return_1d,1460,0.0006844626967830253,0.00025944043127054537,0.019309798216168662,-0.1235433203850701,-0.00622317477995745,0.0,0.007299851141021925,0.1253022642338974
brent_wti_spread,1461,0.0,4.935646817248459,2.82903903450238,-0.3299999999999983,3.469999999999999,4.52000000000001,5.790000000000006,25.94
brent_rolling_vol_30,1456,0.0034223134839151265,0.017646354906131048,0.007083054448823894,0.0074653838979708,0.0131197588028128,0.01615093975549795,0.020568420382294925,0.0558512324872792
target_brent_avg_next_30d,1431,0.02053388090349076,81.58852271139064,13.074823557458497,62.18033333333333,73.82283333333334,79.96433333333331,86.64333333333332,123.119
target_residual_30d,1431,0.02053388090349076,0.12581132075471652,5.19782148937352,-11.738000000000014,-2.740499999999983,-0.1749999999999829,2.480000000000011,33.56933333333332
