model,event_date,event_name,event_type,n,mse,rmse,mae,mape,direction_acc
TimeMixer (late.gru_gate),2025-06-03,2025 Crimean Bridge explosion,"conflict_event,major_event",61,12.499238967895508,3.535426278102191,3.0341436862945557,0.042915813624858856,0.6557377049180327
ARIMA,2025-06-03,2025 Crimean Bridge explosion,"conflict_event,major_event",61,31.971460342407227,5.654331113616112,4.901905059814453,0.06949426233768463,0.19672131147540983
