run_id,model,fold,mse,rmse,mae,mape,direction_acc,n
late_gru_gate_validation_selected_top2,TimeMixer (fusion; late.gru_gate),1,11.30372628940299,3.362101469230664,2.6505521000000005,0.039853495531422,0.7,60
late_gru_gate_validation_selected_top2,TimeMixer (fusion; late.gru_gate),2,12.974548876108749,3.6020201104531258,3.173074383333333,0.0445354705967418,0.6333333333333333,60
late_gru_gate_validation_selected_top2,TimeMixer (fusion; late.gru_gate),3,3.815981575102663,1.9534537555577465,1.4562797249999997,0.0214532868189826,0.5666666666666667,60
late_gru_gate_validation_selected_top2,TimeMixer (fusion; late.gru_gate),4,1.9520741589763,1.397166475040215,1.1200493666666662,0.0174262739064545,0.8333333333333334,60
late_gru_gate_validation_selected_top2,TimeMixer (fusion; late.gru_gate),5,7.918593478751394,2.8139995520169143,2.1626625999999995,0.032565389204344,0.6666666666666666,60
late_gru_gate_validation_selected_top2,TimeMixer (fusion; late.gru_gate),6,244.780649676272,15.64546738439833,12.478325,0.1267935221071641,0.95,60
ARIMA,ARIMA,1,12.957110404968262,3.5995986449836685,2.9982240200042725,0.0449800565838813,0.6,60
ARIMA,ARIMA,2,29.67947006225586,5.447886751966845,4.344161033630371,0.0608783587813377,0.4166666666666667,60
ARIMA,ARIMA,3,2.917740821838379,1.70813957914404,1.187910079956055,0.017515193670988,0.6,60
ARIMA,ARIMA,4,5.26267671585083,2.2940524658016934,1.777929425239563,0.0276224929839372,0.6833333333333333,60
ARIMA,ARIMA,5,9.503323554992676,3.0827461061515717,2.421349048614502,0.0366959944367408,0.3333333333333333,60
ARIMA,ARIMA,6,273.5501403808594,16.53935126844035,13.003877639770508,0.1316386610269546,0.2166666666666666,60
