source_name,source_stream,source_type,image_count,active_days,first_date,last_date,open_source_count,mean_width,mean_height,share_of_images,open_source_rate,rank
punchng.com,gdelt_doc_socialimage,news_image,4,4,2023-03-06,2023-12-25,0,637.5,392.25,0.0027378507871321013,0.0,39
teraz.sk,gdelt_doc_socialimage,news_image,4,4,2024-07-07,2025-12-21,0,768.0,523.0,0.0027378507871321013,0.0,40
actionforex.com,gdelt_doc_socialimage,news_image,3,3,2025-03-13,2026-02-11,0,664.0,439.3333333333333,0.002053388090349076,0.0,41
cnbc.com,gdelt_doc_socialimage,news_image,3,3,2024-01-21,2026-02-01,0,710.0,462.3333333333333,0.002053388090349076,0.0,42
en.ammonnews.net,gdelt_doc_socialimage,news_image,3,3,2023-10-17,2024-12-02,0,350.0,196.66666666666666,0.002053388090349076,0.0,43
finance.ifeng.com,gdelt_doc_socialimage,news_image,3,3,2024-07-22,2025-09-03,0,570.3333333333334,320.6666666666667,0.002053388090349076,0.0,44
foxbusiness.com,gdelt_doc_socialimage,news_image,3,3,2023-06-12,2025-12-19,0,768.0,485.3333333333333,0.002053388090349076,0.0,45
marketwatch.com,gdelt_doc_socialimage,news_image,3,3,2022-06-07,2024-01-24,0,768.0,384.0,0.002053388090349076,0.0,46
shipandbunker.com,gdelt_doc_socialimage,news_image,3,3,2022-05-28,2024-11-27,0,75.0,75.0,0.002053388090349076,0.0,47
tribune.com.pk,gdelt_doc_socialimage,news_image,3,3,2022-09-03,2023-08-19,0,768.0,554.6666666666666,0.002053388090349076,0.0,48
ammonnews.net,gdelt_doc_socialimage,news_image,2,2,2023-08-11,2024-10-02,0,350.0,196.0,0.0013689253935660506,0.0,49
barrons.com,gdelt_doc_socialimage,news_image,2,2,2023-12-21,2025-06-07,0,768.0,384.0,0.0013689253935660506,0.0,50
bizcommunity.com,gdelt_doc_socialimage,news_image,2,2,2024-12-29,2025-04-01,0,734.0,381.5,0.0013689253935660506,0.0,51
cardu.com.tw,gdelt_doc_socialimage,news_image,2,2,2023-06-11,2026-02-15,0,750.0,500.0,0.0013689253935660506,0.0,52
channelstv.com,gdelt_doc_socialimage,news_image,2,2,2025-09-24,2025-10-29,0,650.0,350.0,0.0013689253935660506,0.0,53
