selection_context,p,d,q,mse,rmse,mae,mape,direction_acc,selected,history_rows,forecast_origin,label_availability_rule,fold
fixed_valid,3,1,2,7.625828742980957,2.761490311947691,2.3608338832855225,0.03692163527011871,0.6666666666666666,True,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,0,1,0,7.808398246765137,2.7943511316162715,2.380776882171631,0.037253282964229584,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,1,1,2,7.813345432281494,2.7952362033076015,2.3814244270324707,0.037263862788677216,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,2,1,1,7.818270683288574,2.7961170725290767,2.382075548171997,0.037274546921253204,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,1,1,0,7.818699359893799,2.7961937271751753,2.3821306228637695,0.037275444716215134,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,2,1,0,7.818911075592041,2.7962315847568924,2.382157325744629,0.03727589175105095,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,0,1,1,7.819502830505371,2.7963373956848216,2.382235527038574,0.037277162075042725,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,0,1,2,7.821166038513184,2.7966347703111296,2.3824517726898193,0.03728071600198746,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,1,1,3,7.82645320892334,2.7975798842791497,2.3831427097320557,0.03729201480746269,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,1,1,1,7.850533485412598,2.8018803481613195,2.3862555027008057,0.03734296187758446,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,2,1,2,7.851830959320068,2.8021118748758176,2.3864450454711914,0.037346143275499344,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,3,1,1,7.859341144561768,2.803451648336701,2.3874170780181885,0.03736202046275139,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,2,1,3,7.865943431854248,2.8046289294404434,2.3882319927215576,0.03737527132034302,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,3,1,0,7.879903316497803,2.8071165484350313,2.3900935649871826,0.03740590438246727,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,0,1,3,7.890753269195557,2.809048463304889,2.3914847373962402,0.03742865473031998,0.6666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,0,0,0,9.503323554992676,3.0827461061515713,2.421349048614502,0.036695994436740875,0.3333333333333333,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,0,0,1,9.613041877746582,3.1004905866244106,2.450852870941162,0.03716548532247543,0.31666666666666665,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,3,0,2,9.67722225189209,3.110823404163613,2.6816492080688477,0.040983669459819794,0.08333333333333333,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,0,0,3,9.678376197814941,3.1110088713815878,2.4859120845794678,0.037725429981946945,0.3,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,0,0,2,9.68661880493164,3.1123333376956333,2.4732437133789062,0.03751720115542412,0.3,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,3,0,3,10.081598281860352,3.1751532690344813,2.7255122661590576,0.041610535234212875,0.11666666666666667,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,2,0,3,10.096506118774414,3.1774999793508125,2.7278380393981934,0.04164610803127289,0.11666666666666667,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,1,0,3,10.10554313659668,3.178921694002021,2.73240065574646,0.04172087833285332,0.1,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,2,0,2,10.160505294799805,3.187554751655225,2.7346065044403076,0.04174434393644333,0.15,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,1,0,0,10.214327812194824,3.1959862033799245,2.7738089561462402,0.04240663722157478,0.11666666666666667,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,3,0,0,10.241650581359863,3.200257892945483,2.754781484603882,0.0420629121363163,0.1,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,1,0,2,10.257497787475586,3.2027328623342264,2.7623159885406494,0.04218731448054314,0.08333333333333333,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,1,0,1,10.258727073669434,3.2029247686558975,2.7677001953125,0.042280297726392746,0.05,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,2,0,0,10.261628150939941,3.203377616039037,2.765310049057007,0.04223785921931267,0.06666666666666667,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,2,0,1,10.264473915100098,3.203821767061972,2.748398780822754,0.041952334344387054,0.16666666666666666,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,3,1,3,10.29927921295166,3.2092490107424916,2.781080484390259,0.042501285672187805,0.08333333333333333,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fixed_valid,3,0,1,10.364503860473633,3.219394952545219,2.775514841079712,0.04238193854689598,0.08333333333333333,False,1192,2025-11-18,target_end_strictly_before_forecast_origin,
fold_1,0,0,0,2.308087110519409,1.5192389905868693,1.2848985195159912,0.017449818551540375,0.8333333333333334,True,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,0,0,1,2.618464708328247,1.6181670829454686,1.3244760036468506,0.017968952655792236,0.8166666666666667,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
