model,fold,mse,rmse,mae,mape,direction_acc,n
ARIMA,1,12.957110404968262,3.5995986449836685,2.9982240200042725,0.04498005658388138,0.6,60
ARIMA,2,29.67947006225586,5.447886751966845,4.344161033630371,0.06087835878133774,0.4166666666666667,60
ARIMA,3,2.917740821838379,1.7081395791440401,1.1879100799560547,0.017515193670988083,0.6,60
ARIMA,4,5.26267671585083,2.2940524658016934,1.777929425239563,0.027622492983937263,0.6833333333333333,60
ARIMA,5,9.503323554992676,3.0827461061515713,2.421349048614502,0.036695994436740875,0.3333333333333333,60
ARIMA,6,273.5501403808594,16.53935126844035,13.003877639770508,0.13163866102695465,0.21666666666666667,60
